rank,target,id,mission,period_days,depth_ppm,prob_mean,prob_std,fold_disagree,current_disposition,n_followup,discovery_score,confirmed_after_training,vetting_figure
1,TOI-4328.01,TIC 77175217,TESS,703.79,602,0.9885,0.0059,0.0057,PC,5.0,0.3686,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_77175217_p703.794.png
2,TOI-4324.01,TIC 408416746,TESS,6.25,770,0.9855,0.0075,0.0071,PC,13.0,0.1835,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_408416746_p6.251.png
3,TOI-5489.01,TIC 468983280,TESS,3.15,1040,0.9836,0.0069,0.0065,PC,20.0,0.1275,True,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_468983280_p3.152.png
4,TOI-783.01,TIC 451645081,TESS,8.11,1225,0.9835,0.0089,0.0086,PC,18.0,0.1393,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_451645081_p8.113.png
5,TOI-5809.01,TIC 283471501,TESS,9.21,853,0.9832,0.0088,0.0084,PC,14.0,0.172,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_283471501_p9.210.png
6,TOI-789.01,TIC 300710077,TESS,5.45,862,0.9827,0.0107,0.0104,PC,31.0,0.0858,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_300710077_p5.447.png
7,TOI-4565.01,TIC 381897917,TESS,692.52,1810,0.9827,0.0094,0.0084,PC,18.0,0.1392,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_381897917_p692.515.png
8,TOI-698.01,TIC 141527579,TESS,15.09,1912,0.9823,0.0103,0.01,PC,7.0,0.2917,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_141527579_p15.087.png
9,TOI-4360.01,TIC 52307802,TESS,3.07,1979,0.9809,0.0083,0.0079,PC,2.0,0.5839,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_52307802_p3.075.png
10,TOI-5169.01,TIC 350023518,TESS,8.04,738,0.9809,0.0089,0.0085,PC,13.0,0.1824,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_350023518_p8.039.png
11,TOI-2495.01,TIC 33091590,TESS,7.8,2784,0.98,0.0091,0.0085,PC,25.0,0.1041,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_33091590_p7.795.png
12,TOI-4353.01,TIC 176797879,TESS,718.18,974,0.9797,0.0096,0.009,PC,23.0,0.112,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_176797879_p718.181.png
13,TOI-1245.01,TIC 229781583,TESS,4.82,1930,0.9796,0.0116,0.0113,PC,15.0,0.1614,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_229781583_p4.820.png
14,TOI-2453.01,TIC 59128183,TESS,4.44,3376,0.9795,0.0086,0.0081,PC,21.0,0.1214,True,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_59128183_p4.441.png
15,TOI-233.01,TIC 415969908,TESS,11.67,2784,0.9784,0.0119,0.0117,PC,60.0,0.046,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_415969908_p11.670.png
16,TOI-2540.01,TIC 354518617,TESS,12.72,1144,0.9773,0.0114,0.0104,PC,40.0,0.0675,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_354518617_p12.719.png
17,TOI-2009.01,TIC 243187830,TESS,1071.09,865,0.9772,0.0134,0.0127,PC,20.0,0.1258,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_243187830_p1071.090.png
18,TOI-5711.01,TIC 441804533,TESS,16.3,1120,0.9771,0.0154,0.0149,PC,6.0,0.3208,False,https://github.com/OliverDonaldson/exoplanet-hunter/blob/main/docs/figures/vetting/tic_441804533_p16.304.png
